date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;5;0;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;8;0;0
27/02/2020;1;0.25;20;5;0
28/02/2020;0;0.2;0;NA;0
29/02/2020;1;0.4;10;10;0
01/03/2020;3;1;9;33.33;0
02/03/2020;0;1;0;NA;0
03/03/2020;1;1;0;NA;0
04/03/2020;1;1.2;33;3.03;0
05/03/2020;1;1.2;11;9.09;0
06/03/2020;1;0.8;0;NA;0
07/03/2020;2;1.2;27;7.41;0
08/03/2020;6;2.2;40;15;0
09/03/2020;13;4.6;74;17.57;0
10/03/2020;8;6;73;10.96;9
11/03/2020;0;5.8;0;NA;9
12/03/2020;46;14.6;557;8.26;12
13/03/2020;5;14.4;91;5.49;14
14/03/2020;23;16.4;274;8.39;14
15/03/2020;25;19.8;187;13.37;28
16/03/2020;39;27.6;114;34.21;37
17/03/2020;53;29;155;34.19;32
18/03/2020;34;34.8;366;9.29;41
19/03/2020;122;54.6;355;34.37;47
20/03/2020;64;62.4;286;22.38;48
21/03/2020;80;70.6;340;23.53;44
22/03/2020;58;71.6;340;17.06;49
23/03/2020;76;80;299;25.42;52
24/03/2020;26;60.8;620;4.19;57
25/03/2020;124;72.8;688;18.02;59
26/03/2020;133;83.4;506;26.28;64
27/03/2020;71;86;621;11.43;71
28/03/2020;116;94;894;12.98;70
29/03/2020;160;120.8;727;22.01;68
30/03/2020;52;106.4;218;23.85;69
31/03/2020;56;91;810;6.91;73
01/04/2020;35;83.8;852;4.11;71
02/04/2020;61;72.8;1037;5.88;75
03/04/2020;66;54;1243;5.31;76
04/04/2020;65;56.6;947;6.86;71
05/04/2020;75;60.4;761;9.86;67
06/04/2020;18;57;600;3;66
07/04/2020;78;60.4;706;11.05;67
08/04/2020;60;59.2;942;6.37;62
09/04/2020;72;60.6;1001;7.19;57
10/04/2020;83;62.2;1241;6.69;53
11/04/2020;106;79.8;1353;7.83;54
12/04/2020;40;72.2;1153;3.47;54
13/04/2020;53;70.8;73;NA;54
14/04/2020;32;62.8;268;11.94;52
15/04/2020;29;52;1565;1.85;44
16/04/2020;72;45.2;1286;5.6;42
