date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;0;NA;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;0;NA;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;32;0;0
01/03/2020;0;0;7;0;0
02/03/2020;0;0;0;NA;0
03/03/2020;1;0.2;3;33.33;0
04/03/2020;0;0.2;6;0;0
05/03/2020;0;0.2;6;0;0
06/03/2020;2;0.6;9;22.22;0
07/03/2020;0;0.6;12;0;0
08/03/2020;1;0.6;48;2.08;0
09/03/2020;1;0.8;12;8.33;0
10/03/2020;2;1.2;13;15.38;0
11/03/2020;1;1;7;14.29;1
12/03/2020;0;1;0;NA;1
13/03/2020;2;1.2;0;NA;1
14/03/2020;0;1;0;NA;2
15/03/2020;1;0.8;53;1.89;2
16/03/2020;1;0.8;22;4.55;2
17/03/2020;8;2.4;32;25;2
18/03/2020;7;3.4;0;NA;2
19/03/2020;10;5.4;91;10.99;5
20/03/2020;15;8.2;90;16.67;5
21/03/2020;14;10.8;79;17.72;7
22/03/2020;15;12.2;121;12.4;10
23/03/2020;9;12.6;53;16.98;12
24/03/2020;2;11;48;4.17;12
25/03/2020;21;12.2;113;18.58;14
26/03/2020;21;13.6;189;11.11;16
27/03/2020;17;14;208;8.17;15
28/03/2020;31;18.4;167;18.56;19
29/03/2020;20;22;164;12.2;18
30/03/2020;12;20.2;248;4.84;18
31/03/2020;12;18.4;210;5.71;17
01/04/2020;11;17.2;219;5.02;15
02/04/2020;9;12.8;165;5.45;19
03/04/2020;15;11.8;195;7.69;19
04/04/2020;3;10;143;2.1;19
05/04/2020;14;10.4;166;8.43;18
06/04/2020;9;10;130;6.92;18
07/04/2020;4;9;99;4.04;17
08/04/2020;6;7.2;136;4.41;17
09/04/2020;6;7.8;178;3.37;17
10/04/2020;5;6;222;2.25;15
11/04/2020;4;5;354;1.13;12
12/04/2020;3;4.8;305;0.98;12
13/04/2020;4;4.4;190;2.11;12
14/04/2020;0;3.2;214;0;12
15/04/2020;1;2.4;278;0.36;12
16/04/2020;16;4.8;312;5.13;9
17/04/2020;1;4.4;361;0.28;9
18/04/2020;2;4;346;0.58;8
19/04/2020;3;4.6;472;0.64;8
20/04/2020;0;4.4;340;0;7
21/04/2020;8;2.8;602;1.33;7
22/04/2020;4;3.4;570;0.7;7
23/04/2020;2;3.4;471;0.42;7
24/04/2020;4;3.6;515;0.78;7
25/04/2020;1;3.8;766;0.13;7
26/04/2020;5;3.2;285;1.75;7
27/04/2020;0;2.4;287;0;7
28/04/2020;0;2;525;0;7
29/04/2020;0;1.2;442;0;4
30/04/2020;1;1.2;1443;0.07;4
01/05/2020;11;2.4;495;2.22;4
02/05/2020;2;2.8;453;0.44;4
03/05/2020;6;4;488;1.23;3
04/05/2020;0;4;691;0;3
05/05/2020;10;5.8;575;1.74;3
06/05/2020;3;4.2;627;0.48;3
07/05/2020;-16;0.6;169;-9.47;2
08/05/2020;-1;-0.8;505;-0.2;2
09/05/2020;0;-0.8;656;0;1
10/05/2020;3;-2.2;483;0.62;1
11/05/2020;1;-2.6;350;0.29;1
12/05/2020;1;0.8;834;0.12;1
13/05/2020;2;1.4;578;0.35;1
14/05/2020;0;1.4;607;0;1
15/05/2020;0;0.8;566;0;1
16/05/2020;1;0.8;645;0.16;1
17/05/2020;2;1;671;0.3;1
18/05/2020;0;0.6;414;0;1
19/05/2020;1;0.8;766;0.13;1
20/05/2020;0;0.8;639;0;1
21/05/2020;1;0.8;551;0.18;1
22/05/2020;0;0.4;508;0;1
23/05/2020;4;1.2;466;0.86;1
24/05/2020;1;1.2;600;0.17;1
25/05/2020;0;1.2;523;0;0
26/05/2020;0;1;563;0;0
27/05/2020;0;1;537;0;0
28/05/2020;0;0.2;608;0;0
