date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;10;0;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;3;0.75;0;NA;0
28/02/2020;1;0.8;203;0.49;0
29/02/2020;9;2.6;160;5.62;0
01/03/2020;4;3.4;0;NA;0
02/03/2020;0;3.4;0;NA;0
03/03/2020;13;5.4;32;40.62;0
04/03/2020;1;5.4;24;4.17;0
05/03/2020;14;6.4;42;33.33;0
06/03/2020;12;8;0;NA;0
07/03/2020;4;8.8;141;2.84;0
08/03/2020;40;14.2;368;10.87;7
09/03/2020;19;17.8;0;NA;8
10/03/2020;7;16.4;161;4.35;8
11/03/2020;27;19.4;234;11.54;11
12/03/2020;25;23.6;176;14.2;11
13/03/2020;41;23.8;120;34.17;19
14/03/2020;52;30.4;265;19.62;17
15/03/2020;61;41.2;277;22.02;22
16/03/2020;67;49.2;304;22.04;22
17/03/2020;60;56.2;168;35.71;24
18/03/2020;0;48;0;NA;24
19/03/2020;192;76;859;22.35;36
20/03/2020;97;83.2;301;32.23;41
21/03/2020;95;88.8;603;15.75;87
22/03/2020;92;95.2;495;18.59;99
23/03/2020;90;113.2;870;10.34;110
24/03/2020;75;89.8;484;15.5;181
25/03/2020;98;90;675;14.52;123
26/03/2020;111;93.2;1374;8.08;114
27/03/2020;144;103.6;1267;11.37;113
28/03/2020;138;113.2;1003;13.76;132
29/03/2020;167;131.6;1189;14.05;135
30/03/2020;193;150.6;1164;16.58;126
31/03/2020;140;156.4;1434;9.76;133
01/04/2020;139;155.4;1325;10.49;129
02/04/2020;225;172.8;1676;13.42;120
03/04/2020;221;183.6;1833;12.06;115
04/04/2020;151;175.2;2297;6.57;114
05/04/2020;132;173.6;1605;8.22;108
06/04/2020;98;165.4;1387;7.07;101
07/04/2020;90;138.4;1253;7.18;103
08/04/2020;120;118.2;2005;5.99;97
09/04/2020;76;103.2;1880;4.04;94
10/04/2020;98;96.4;2081;4.71;90
11/04/2020;75;91.8;2036;3.68;85
12/04/2020;87;91.2;1667;5.22;82
13/04/2020;66;80.4;1322;4.99;80
14/04/2020;99;85;1324;7.48;82
15/04/2020;38;73;1440;2.64;86
16/04/2020;80;74;1762;4.54;76
17/04/2020;64;69.4;2401;2.67;76
18/04/2020;37;63.6;2597;1.42;76
19/04/2020;41;52;1893;2.17;61
20/04/2020;45;53.4;2903;1.55;61
21/04/2020;61;49.6;2458;2.48;58
22/04/2020;50;46.8;2153;2.32;53
23/04/2020;53;50;2623;2.02;47
24/04/2020;44;50.6;3007;1.46;44
25/04/2020;17;45;3190;0.53;55
26/04/2020;32;39.2;2697;1.19;45
27/04/2020;18;32.8;1509;1.19;37
28/04/2020;31;28.4;1839;1.69;33
29/04/2020;30;25.6;2528;1.19;31
30/04/2020;13;24.8;3014;0.43;29
01/05/2020;21;22.6;3832;0.55;29
02/05/2020;15;22;3652;0.41;27
03/05/2020;25;20.8;2906;0.86;30
04/05/2020;14;17.6;4045;0.35;24
05/05/2020;20;19;2525;0.79;25
06/05/2020;14;17.6;3480;0.4;25
07/05/2020;9;16.4;4477;0.2;27
08/05/2020;21;15.6;4374;0.48;28
09/05/2020;14;15.6;5412;0.26;26
10/05/2020;12;14;4008;0.3;20
11/05/2020;14;14;4223;0.33;23
12/05/2020;13;14.8;2211;0.59;20
13/05/2020;15;13.6;3117;0.48;19
14/05/2020;9;12.6;3568;0.25;19
15/05/2020;15;13.2;3606;0.42;17
