date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;18;18;148;12.16;2
25/02/2020;8;13;243;3.29;2
26/02/2020;21;15.6666666666667;186;11.29;3
27/02/2020;50;24.25;456;10.96;6
28/02/2020;48;29;244;19.67;6
29/02/2020;72;39.8;273;26.37;11
01/03/2020;68;51.8;245;27.76;13
02/03/2020;50;57.6;178;28.09;16
03/03/2020;85;64.6;39;NA;24
04/03/2020;124;79.8;488;25.41;26
05/03/2020;154;96.2;384;40.1;32
06/03/2020;172;117;252;NA;53
07/03/2020;140;135;468;29.91;64
08/03/2020;170;152;740;22.97;75
09/03/2020;206;168.4;562;36.65;90
10/03/2020;147;167;588;25;98
11/03/2020;206;173.8;1146;17.98;104
12/03/2020;208;187.4;960;21.67;112
13/03/2020;316;216.6;1187;26.62;128
14/03/2020;381;251.6;1256;30.33;152
15/03/2020;449;312;2011;22.33;169
16/03/2020;429;356.6;1042;41.17;197
17/03/2020;409;396.8;1414;28.93;223
18/03/2020;594;452.4;951;NA;247
19/03/2020;689;514;2883;23.9;260
20/03/2020;754;575;2409;31.3;267
21/03/2020;737;636.6;3867;19.06;265
22/03/2020;850;724.8;3402;24.99;269
23/03/2020;980;802;3178;30.84;276
24/03/2020;719;808;2327;30.9;291
25/03/2020;800;817.2;4518;17.71;294
26/03/2020;762;822.2;4350;17.52;301
27/03/2020;772;806.6;5403;14.29;308
28/03/2020;795;769.6;5193;15.31;316
29/03/2020;736;773;0;NA;333
30/03/2020;412;695.4;-2001;-20.59;351
31/03/2020;543;651.6;3542;15.33;353
01/04/2020;713;639.8;3925;18.17;359
02/04/2020;546;590;2050;26.63;366
03/04/2020;599;562.6;3175;18.87;364
04/04/2020;608;601.8;3393;17.92;358
05/04/2020;549;603;2911;18.86;375
06/04/2020;467;553.8;2177;21.45;372
07/04/2020;269;498.4;3028;8.88;366
08/04/2020;409;460.4;3176;12.88;361
09/04/2020;443;427.4;3348;13.23;355
10/04/2020;451;407.8;4169;10.82;349
11/04/2020;507;415.8;5875;8.63;341
12/04/2020;463;454.6;4945;9.36;335
13/04/2020;342;441.2;2343;14.6;331
14/04/2020;312;415;2849;10.95;328
15/04/2020;277;380.2;4253;6.51;325
16/04/2020;457;370.2;5956;7.67;316
17/04/2020;348;347.2;4721;7.37;309
18/04/2020;350;348.8;4394;7.97;296
19/04/2020;376;361.6;3696;10.17;289
20/04/2020;307;367.6;4614;6.65;283
21/04/2020;225;321.2;5348;4.21;282
22/04/2020;342;320;5996;5.7;282
23/04/2020;289;307.8;5272;5.48;266
24/04/2020;247;282;5359;4.61;264
25/04/2020;239;268.4;5378;4.44;246
26/04/2020;241;271.6;5045;4.78;245
27/04/2020;212;245.6;3051;6.95;247
28/04/2020;252;238.2;7610;3.31;228
29/04/2020;263;241.4;4276;6.15;226
30/04/2020;259;245.4;5992;4.32;206
01/05/2020;208;238.8;5407;3.85;197
02/05/2020;206;237.6;3871;5.32;196
03/05/2020;166;220.4;4940;3.36;197
04/05/2020;159;199.6;3352;4.74;199
05/05/2020;100;167.8;5739;1.74;191
06/05/2020;104;147;5486;1.9;176
07/05/2020;108;127.4;5387;2;173
08/05/2020;111;116.4;4827;2.3;163
09/05/2020;121;108.8;5500;2.2;155
10/05/2020;77;104.2;4271;1.8;150
11/05/2020;80;99.4;2982;2.68;141
12/05/2020;53;88.4;4559;1.16;136
13/05/2020;50;76.2;4705;1.06;123
14/05/2020;77;67.4;4708;1.64;122
15/05/2020;54;62.8;4906;1.1;114
16/05/2020;72;61.2;4777;1.51;112
17/05/2020;50;60.6;2832;1.77;111
18/05/2020;35;57.6;2782;1.26;105
19/05/2020;47;51.6;4312;1.09;99
20/05/2020;50;50.8;6162;0.81;96
21/05/2020;53;47;4555;1.16;92
22/05/2020;53;47.6;3940;1.35;89
23/05/2020;43;49.2;4525;0.95;84
24/05/2020;45;48.8;4494;1;83
25/05/2020;29;44.6;2305;1.26;82
26/05/2020;24;38.8;3673;0.65;80
27/05/2020;16;31.4;3714;0.43;78
28/05/2020;74;37.6;9128;0.81;77
29/05/2020;38;36.2;6213;0.61;76
30/05/2020;20;34.4;4464;0.45;65
31/05/2020;31;35.8;4109;0.75;57
01/06/2020;19;36.4;3876;0.49;54
02/06/2020;19;25.4;4271;0.44;50
03/06/2020;14;20.6;3001;0.47;50
04/06/2020;18;20.2;5080;0.35;49
05/06/2020;17;17.4;5436;0.31;38
06/06/2020;17;17;4000;0.42;35
07/06/2020;14;16;4806;0.29;32
08/06/2020;20;17.2;5010;0.4;31
09/06/2020;18;17.2;6523;0.28;31
10/06/2020;24;18.6;7793;0.31;25
11/06/2020;25;20.2;9942;0.25;18
12/06/2020;33;24;8319;0.4;17
13/06/2020;28;25.6;7363;0.38;15
14/06/2020;17;25.4;6137;0.28;14
15/06/2020;11;22.8;3945;0.28;13
16/06/2020;13;20.4;6200;0.21;11
17/06/2020;14;16.6;9546;0.15;11
18/06/2020;32;17.4;8621;0.37;11
19/06/2020;27;19.4;7950;0.34;11
20/06/2020;28;22.8;6315;0.44;11
21/06/2020;23;24.8;4238;0.54;12
22/06/2020;22;26.4;2138;1.03;12
23/06/2020;17;23.4;4608;0.37;12
24/06/2020;44;26.8;6012;0.73;12
25/06/2020;47;30.6;7838;0.6;11
26/06/2020;46;35.2;4491;1.02;12
27/06/2020;42;39.2;4368;0.96;11
28/06/2020;21;40;3421;0.61;12
29/06/2020;16;34.4;2721;0.59;12
30/06/2020;20;29;6093;0.33;12
01/07/2020;16;23;3882;0.41;10
02/07/2020;27;20;4862;0.56;9
03/07/2020;27;21.2;4403;0.61;9
04/07/2020;51;28.2;5513;0.93;8
05/07/2020;24;29;3011;0.8;9
06/07/2020;38;33.4;2371;1.6;9
07/07/2020;31;34.2;6626;0.47;10
08/07/2020;49;38.6;4877;1;10
09/07/2020;29;34.2;5343;0.54;10
10/07/2020;53;40;4182;1.27;10
11/07/2020;47;41.8;4274;1.1;10
12/07/2020;71;49.8;2975;2.39;10
13/07/2020;18;43.6;2007;0.9;9
14/07/2020;13;40.4;4911;0.26;9
15/07/2020;18;33.4;3985;0.45;9
16/07/2020;46;33.2;4459;1.03;9
17/07/2020;54;29.8;5554;0.97;8
18/07/2020;40;34.2;4775;0.84;8
19/07/2020;51;41.8;2730;1.87;8
20/07/2020;42;46.6;2302;1.82;6
21/07/2020;18;41;5382;0.33;6
22/07/2020;57;41.6;7736;0.74;7
23/07/2020;55;44.6;5585;0.98;6
24/07/2020;63;47;5999;1.05;4
25/07/2020;49;48.4;6557;0.75;4
26/07/2020;61;57;3140;1.94;4
27/07/2020;33;52.2;4828;0.68;4
28/07/2020;20;45.2;8149;0.25;3
29/07/2020;28;38.2;8318;0.34;3
30/07/2020;35;35.4;10070;0.35;4
31/07/2020;36;30.4;10980;0.33;4
01/08/2020;56;35;10411;0.54;4
02/08/2020;49;40.8;7503;0.65;4
03/08/2020;34;42;5357;0.63;3
04/08/2020;42;43.4;7384;0.57;4
05/08/2020;47;45.6;8523;0.55;4
06/08/2020;58;46;10114;0.57;4
07/08/2020;54;47;9511;0.57;4
08/08/2020;44;49;8147;0.54;4
09/08/2020;69;54.4;5413;1.27;4
10/08/2020;39;52.8;4156;0.94;4
11/08/2020;19;45;5900;0.32;4
12/08/2020;41;42.4;7740;0.53;4
13/08/2020;37;41;7168;0.52;4
14/08/2020;57;38.6;6376;0.89;4
