date;positives;Average;daily_test;test_positives;Intensive_Care
2020-02-24;221;221;4324;5.11;26
2020-02-25;93;157;4299;2.16;35
2020-02-26;78;130.666666666667;964;8.09;36
2020-02-27;250;160.5;2427;10.3;56
2020-02-28;238;176;3681;6.47;64
2020-02-29;240;179.8;2966;8.09;105
2020-03-01;566;274.4;2466;22.95;140
2020-03-02;342;327.2;2218;15.42;166
2020-03-03;466;370.4;2511;18.56;229
2020-03-04;587;440.2;3981;14.75;295
2020-03-05;769;546;2525;30.46;351
2020-03-06;778;588.4;3997;19.46;462
2020-03-07;1247;769.4;5703;21.87;567
2020-03-08;1492;974.6;7875;18.95;650
2020-03-09;1797;1216.6;3889;46.21;733
2020-03-10;977;1258.2;6935;14.09;877
2020-03-11;2313;1565.2;12393;18.66;1028
2020-03-12;2651;1846;12857;20.62;1153
2020-03-13;2547;2057;11477;22.19;1328
2020-03-14;3497;2397;11682;29.93;1518
2020-03-15;3590;2919.6;15729;22.82;1672
2020-03-16;3233;3103.6;13063;24.75;1851
2020-03-17;3526;3278.6;10695;32.97;2060
2020-03-18;4207;3610.6;16884;24.92;2257
2020-03-19;5322;3975.6;17236;30.88;2498
2020-03-20;5986;4454.8;24109;24.83;2655
2020-03-21;6557;5119.6;26336;24.9;2857
2020-03-22;5560;5526.4;25180;22.08;3009
2020-03-23;4789;5642.8;17066;28.06;3204
2020-03-24;5249;5628.2;21496;24.42;3396
2020-03-25;5210;5473;27481;18.96;3489
2020-03-26;6153;5392.2;36615;16.8;3612
2020-03-27;5959;5472;33019;18.05;3732
2020-03-28;5974;5709;35447;16.85;3856
2020-03-29;5217;5702.6;24504;21.29;3906
2020-03-30;4050;5470.6;23329;17.36;3981
2020-03-31;4053;5050.6;29609;13.69;4023
2020-04-01;4782;4815.2;34455;13.88;4035
2020-04-02;4668;4554;39809;11.73;4053
2020-04-03;4585;4427.6;38617;11.87;4068
2020-04-04;4805;4578.6;37375;12.86;3994
2020-04-05;4316;4631.2;34237;12.61;3977
2020-04-06;3599;4394.6;30271;11.89;3898
2020-04-07;3039;4068.8;33713;9.01;3792
2020-04-08;3836;3919;51680;7.42;3693
2020-04-09;4204;3798.8;46244;9.09;3605
2020-04-10;3951;3725.8;53495;7.39;3497
2020-04-11;4694;3944.8;56609;8.29;3381
2020-04-12;4092;4155.4;46720;8.76;3343
2020-04-13;3153;4018.8;36717;8.59;3260
2020-04-14;2972;3772.4;26779;11.1;3186
2020-04-15;2667;3515.6;43715;6.1;3079
2020-04-16;3786;3334;60999;6.21;2936
2020-04-17;3493;3214.2;65705;5.32;2812
2020-04-18;3491;3281.8;61725;5.66;2733
2020-04-19;3047;3296.8;50708;6.01;2635
2020-04-20;2256;3214.6;41483;5.44;2573
2020-04-21;2729;3003.2;52126;5.24;2471
2020-04-22;3370;2978.6;63101;5.34;2384
2020-04-23;2646;2809.6;66658;3.97;2267
2020-04-24;3021;2804.4;62447;4.84;2173
2020-04-25;2357;2824.6;65387;3.6;2102
2020-04-26;2324;2743.6;49916;4.66;2009
2020-04-27;1739;2417.4;32003;5.43;1956
2020-04-28;2091;2306.4;57272;3.65;1863
2020-04-29;2086;2119.4;63827;3.27;1795
2020-04-30;1872;2022.4;68456;2.73;1694
2020-05-01;1965;1950.6;74208;2.65;1578
2020-05-02;1900;1982.8;55412;3.43;1539
2020-05-03;1389;1842.4;44935;3.09;1501
2020-05-04;1221;1669.4;37631;3.24;1479
2020-05-05;1075;1510;55263;1.95;1427
2020-05-06;1444;1405.8;64263;2.25;1333
2020-05-07;1401;1306;70359;1.99;1311
2020-05-08;1327;1293.6;63775;2.08;1168
2020-05-09;1083;1266;69171;1.57;1034
2020-05-10;802;1211.4;51678;1.55;1027
2020-05-11;744;1071.4;40740;1.83;999
2020-05-12;1402;1071.6;67003;2.09;952
2020-05-13;888;983.8;61973;1.43;893
2020-05-14;992;965.6;71876;1.38;855
2020-05-15;789;963;68176;1.16;808
2020-05-16;875;989.2;69179;1.26;775
2020-05-17;675;843.8;60101;1.12;762
2020-05-18;451;756.4;36406;1.24;749
2020-05-19;813;720.6;63158;1.29;716
2020-05-20;665;695.8;67195;0.99;676
2020-05-21;642;649.2;71679;0.9;640
2020-05-22;652;644.6;75380;0.86;595
2020-05-23;669;688.2;72410;0.92;572
2020-05-24;531;631.8;55824;0.95;553
2020-05-25;300;558.8;35241;0.85;541
2020-05-26;397;509.8;57674;0.69;521
2020-05-27;584;496.2;67324;0.87;505
2020-05-28;593;481;75893;0.78;489
2020-05-29;516;478;72135;0.72;475
2020-05-30;416;501.2;69342;0.6;450
2020-05-31;355;492.8;54118;0.66;435
2020-06-01;178;411.6;31394;0.57;424
2020-06-02;318;356.6;52159;0.61;408
2020-06-03;321;317.6;37299;0.86;353
2020-06-04;177;269.8;49953;0.35;338
2020-06-05;518;302.4;65028;0.8;316
2020-06-06;270;320.8;72485;0.37;293
2020-06-07;197;296.6;49478;0.4;287
2020-06-08;280;288.4;27112;1.03;283
2020-06-09;283;309.6;55003;0.51;263
