date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;2;2;124;1.61;1
25/02/2020;0;1;0;NA;1
26/02/2020;0;0.666666666666667;0;NA;0
27/02/2020;0;0.5;428;0;0
28/02/2020;0;0.4;59;0;0
29/02/2020;3;0.6;68;4.41;0
01/03/2020;0;0.6;45;0;0
02/03/2020;1;0.8;49;2.04;0
03/03/2020;7;2.2;104;6.73;0
04/03/2020;16;5.4;118;13.56;3
05/03/2020;14;7.6;180;7.78;7
06/03/2020;10;9.6;198;5.05;8
07/03/2020;22;13.8;209;10.53;8
08/03/2020;11;14.6;347;3.17;8
09/03/2020;15;14.4;0;NA;8
10/03/2020;14;14.4;1662;0.84;15
11/03/2020;34;19.2;0;NA;18
12/03/2020;50;24.8;2001;2.5;20
13/03/2020;77;38;899;8.57;24
14/03/2020;80;51;844;9.48;25
15/03/2020;79;64;1010;7.82;31
16/03/2020;87;74.6;985;8.83;31
17/03/2020;84;81.4;106;NA;44
18/03/2020;117;89.4;1709;6.85;44
19/03/2020;99;93.2;0;NA;45
20/03/2020;185;114.4;2744;6.74;47
21/03/2020;182;133.4;0;NA;70
22/03/2020;193;155.2;3956;4.88;79
23/03/2020;157;163.2;526;29.85;96
24/03/2020;188;181;0;NA;94
25/03/2020;173;178.6;2298;7.53;101
26/03/2020;195;181.2;2102;9.28;113
27/03/2020;199;182.4;1335;14.91;126
28/03/2020;210;193;3073;6.83;133
29/03/2020;201;195.6;565;35.58;133
30/03/2020;208;202.6;5102;4.08;154
31/03/2020;181;199.8;1831;9.89;173
01/04/2020;169;193.8;1133;14.92;177
02/04/2020;169;185.6;5765;2.93;181
03/04/2020;167;178.8;2201;7.59;188
04/04/2020;157;168.6;848;18.51;193
05/04/2020;123;157;34;NA;197
06/04/2020;151;153.4;2812;5.37;197
07/04/2020;118;143.2;1404;8.4;192
08/04/2020;117;133.2;6239;1.88;196
09/04/2020;163;134.4;2994;5.44;198
10/04/2020;154;140.6;3662;4.21;201
11/04/2020;140;138.4;3472;4.03;203
12/04/2020;122;139.2;3713;3.29;201
13/04/2020;123;140.4;3792;3.24;200
14/04/2020;143;136.4;1904;7.51;199
15/04/2020;121;129.8;934;12.96;196
16/04/2020;148;131.4;6409;2.31;197
17/04/2020;144;135.8;2762;5.21;187
18/04/2020;144;140;4798;3;186
19/04/2020;87;128.8;2254;3.86;185
20/04/2020;60;116.6;6016;1;185
21/04/2020;80;103;2208;3.62;184
22/04/2020;80;90.2;4031;1.98;187
23/04/2020;79;77.2;7011;1.13;186
24/04/2020;78;75.4;3244;2.4;184
25/04/2020;92;81.8;4037;2.28;183
26/04/2020;85;82.8;3323;2.56;161
27/04/2020;83;83.4;3092;2.68;143
28/04/2020;75;82.6;3895;1.93;132
29/04/2020;78;82.6;4839;1.61;130
30/04/2020;71;78.4;4093;1.73;115
01/05/2020;56;72.6;6208;0.9;105
02/05/2020;84;72.8;3274;2.57;96
03/05/2020;53;68.4;3834;1.38;95
04/05/2020;38;60.4;2381;1.6;95
05/05/2020;67;59.6;4014;1.67;91
06/05/2020;81;64.6;3587;2.26;91
07/05/2020;39;55.6;4446;0.88;89
08/05/2020;52;55.4;4159;1.25;84
09/05/2020;47;57.2;4949;0.95;82
10/05/2020;32;50.2;4121;0.78;84
11/05/2020;25;39;2829;0.88;83
12/05/2020;22;35.6;3687;0.6;84
13/05/2020;38;32.8;3547;1.07;83
14/05/2020;41;31.6;4285;0.96;79
15/05/2020;73;39.8;4682;1.56;79
16/05/2020;32;41.2;4339;0.74;76
17/05/2020;50;46.8;4228;1.18;74
18/05/2020;39;47;3306;1.18;73
19/05/2020;20;42.8;4405;0.45;74
20/05/2020;28;33.8;3972;0.7;74
21/05/2020;25;32.4;4222;0.59;68
22/05/2020;31;28.6;5019;0.62;67
23/05/2020;18;24.4;3653;0.49;60
24/05/2020;20;24.4;2755;0.73;61
25/05/2020;16;22;2342;0.68;60
26/05/2020;18;20.6;3127;0.58;59
27/05/2020;11;16.6;3320;0.33;65
28/05/2020;21;17.2;3706;0.57;64
29/05/2020;16;16.4;3274;0.49;59
30/05/2020;6;14.4;4121;0.15;58
31/05/2020;13;13.4;2086;0.62;57
01/06/2020;10;13.2;2089;0.48;56
02/06/2020;5;10;2539;0.2;56
03/06/2020;10;8.8;2359;0.42;51
04/06/2020;11;9.8;2919;0.38;51
05/06/2020;9;9;3181;0.28;51
06/06/2020;28;12.6;3101;0.9;49
07/06/2020;11;13.8;2467;0.45;49
08/06/2020;16;15;1756;0.91;49
09/06/2020;23;17.4;3687;0.62;47
10/06/2020;18;19.2;4058;0.44;47
11/06/2020;20;17.6;4258;0.47;46
12/06/2020;27;20.8;3981;0.68;47
13/06/2020;25;22.6;2785;0.9;45
14/06/2020;14;20.8;2961;0.47;37
15/06/2020;3;17.8;1975;0.15;37
16/06/2020;9;15.6;2715;0.33;38
17/06/2020;10;12.2;3601;0.28;38
18/06/2020;9;9;3263;0.28;38
19/06/2020;9;8;3539;0.25;38
20/06/2020;14;10.2;3401;0.41;39
21/06/2020;8;10;2155;0.37;39
22/06/2020;8;9.6;1317;0.61;23
23/06/2020;8;9.4;2760;0.29;16
24/06/2020;6;8.8;2151;0.28;13
25/06/2020;12;8.4;2159;0.56;12
26/06/2020;13;9.4;2423;0.54;13
27/06/2020;18;11.4;2525;0.71;13
28/06/2020;14;12.6;2253;0.62;13
29/06/2020;9;13.2;1899;0.47;13
30/06/2020;5;11.8;2284;0.22;13
01/07/2020;9;11;3048;0.3;12
02/07/2020;11;9.6;2799;0.39;11
03/07/2020;11;9;2357;0.47;11
04/07/2020;31;13.4;2394;1.29;11
05/07/2020;14;15.2;2345;0.6;11
06/07/2020;19;17.2;2298;0.83;12
07/07/2020;5;16;2029;0.25;13
08/07/2020;14;16.6;2002;0.7;13
09/07/2020;28;16;2535;1.1;13
10/07/2020;23;17.8;2470;0.93;13
11/07/2020;19;17.8;2564;0.74;13
12/07/2020;20;20.8;2585;0.77;12
13/07/2020;24;22.8;3001;0.8;11
14/07/2020;18;20.8;2564;0.7;10
15/07/2020;20;20.2;2338;0.86;10
16/07/2020;9;18.2;2572;0.35;9
17/07/2020;14;17;3103;0.45;9
18/07/2020;20;16.2;3015;0.66;9
19/07/2020;17;16;3059;0.56;9
20/07/2020;14;14.8;2328;0.6;9
21/07/2020;6;14.2;1682;0.36;9
22/07/2020;16;14.6;3001;0.53;9
23/07/2020;26;15.8;2931;0.89;9
24/07/2020;18;16;2075;0.87;9
25/07/2020;19;17;2882;0.66;9
26/07/2020;19;19.6;2773;0.69;9
27/07/2020;13;19;2655;0.49;9
28/07/2020;10;15.8;1749;0.57;9
29/07/2020;34;19;2829;1.2;9
30/07/2020;18;18.8;2379;0.76;9
31/07/2020;18;18.6;2524;0.71;9
01/08/2020;18;19.6;2150;0.84;9
02/08/2020;17;21;2793;0.61;9
03/08/2020;15;17.2;2419;0.62;9
04/08/2020;17;17;2388;0.71;8
05/08/2020;12;15.8;2877;0.42;7
06/08/2020;18;15.8;3628;0.5;8
07/08/2020;20;16.4;2341;0.85;8
08/08/2020;20;17.4;2381;0.84;8
09/08/2020;38;21.6;2612;1.45;8
10/08/2020;38;26.8;2323;1.64;8
11/08/2020;23;27.8;2147;1.07;9
12/08/2020;37;31.2;2695;1.37;9
13/08/2020;36;34.4;2211;1.63;9
14/08/2020;45;35.8;2450;1.84;9
15/08/2020;58;39.8;2602;2.23;9
16/08/2020;68;48.8;3016;2.25;9
17/08/2020;51;51.6;2271;2.25;9
18/08/2020;43;53;3243;1.33;6
19/08/2020;75;59;4851;1.55;6
20/08/2020;115;70.4;5579;2.06;6
21/08/2020;137;84.2;6584;2.08;6
22/08/2020;215;117;7792;2.76;6
23/08/2020;184;145.2;8374;2.2;6
24/08/2020;146;159.4;6000;2.43;6
25/08/2020;143;165;9336;1.53;6
26/08/2020;162;170;9008;1.8;6
