date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;1;0;0
25/02/2020;1;0.5;38;2.63;0
26/02/2020;10;3.66666666666667;27;37.04;0
27/02/2020;8;4.75;12;NA;0
28/02/2020;0;3.8;34;0;0
29/02/2020;23;8.4;9;NA;1
01/03/2020;-17;4.8;0;-Inf;1
02/03/2020;-3;2.2;0;-Inf;1
03/03/2020;2;1;0;NA;2
04/03/2020;2;1.4;12;16.67;3
05/03/2020;2;-2.8;13;15.38;3
06/03/2020;4;1.4;83;4.82;5
07/03/2020;19;5.8;102;18.63;6
08/03/2020;27;10.8;70;38.57;11
09/03/2020;31;16.6;210;14.76;17
10/03/2020;32;22.6;83;38.55;29
11/03/2020;53;32.4;331;16.01;34
12/03/2020;80;44.6;149;NA;36
13/03/2020;71;53.4;268;26.49;44
14/03/2020;118;70.8;308;38.31;62
15/03/2020;96;83.6;223;43.05;66
16/03/2020;108;94.6;216;NA;73
17/03/2020;111;100.8;320;34.69;85
18/03/2020;109;108.4;403;27.05;100
19/03/2020;172;119.2;436;39.45;112
20/03/2020;162;132.4;446;36.32;121
21/03/2020;215;153.8;510;42.16;129
22/03/2020;229;177.4;691;33.14;132
23/03/2020;259;207.4;543;47.7;133
24/03/2020;192;211.4;454;42.29;147
25/03/2020;189;216.8;610;30.98;147
26/03/2020;262;226.2;702;37.32;154
27/03/2020;129;206.2;500;25.8;157
28/03/2020;126;179.6;373;33.78;167
29/03/2020;254;192;923;27.52;166
30/03/2020;141;182.4;577;24.44;175
31/03/2020;199;169.8;699;28.47;179
01/04/2020;244;192.8;958;25.47;179
02/04/2020;122;192;735;16.6;172
03/04/2020;183;177.8;865;21.16;173
04/04/2020;238;197.2;1153;20.64;169
05/04/2020;246;206.6;960;25.62;165
06/04/2020;100;177.8;486;20.58;162
07/04/2020;208;195;1046;19.89;156
08/04/2020;149;188.2;942;15.82;153
09/04/2020;114;163.4;925;12.32;154
10/04/2020;171;148.4;1068;16.01;151
11/04/2020;185;165.4;1374;13.46;146
12/04/2020;118;147.4;1095;10.78;144
13/04/2020;102;138;1146;8.9;138
14/04/2020;212;157.6;1317;16.1;133
15/04/2020;128;149;1347;9.5;120
16/04/2020;103;132.6;1152;8.94;103
17/04/2020;149;138.8;1236;12.06;105
18/04/2020;113;141;1141;9.9;105
