date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;166;166;1463;11.35;19
25/02/2020;68;117;2237;3.04;25
26/02/2020;18;84;-492;-3.66;25
27/02/2020;145;99.25;112;NA;41
28/02/2020;128;105;1515;8.45;47
29/02/2020;84;88.6;888;9.46;80
01/03/2020;369;148.8;1156;31.92;106
02/03/2020;270;199.2;1046;25.81;127
03/03/2020;266;223.4;1652;16.1;167
04/03/2020;300;257.8;2561;11.71;209
05/03/2020;431;327.2;216;NA;244
06/03/2020;361;325.6;1202;30.03;309
07/03/2020;808;433.2;2222;36.36;359
08/03/2020;769;533.8;2756;27.9;399
09/03/2020;1280;729.8;1601;NA;440
10/03/2020;322;708;1344;23.96;466
11/03/2020;1489;933.6;4150;35.88;560
12/03/2020;1445;1061;3905;37;605
13/03/2020;1095;1126.2;3166;34.59;650
14/03/2020;1865;1243.2;4438;42.02;732
15/03/2020;1587;1496.2;3231;49.12;767
16/03/2020;1377;1473.8;3196;43.09;823
17/03/2020;1571;1499;2884;NA;879
18/03/2020;1493;1578.6;2534;NA;924
19/03/2020;2171;1639.8;3261;NA;1006
20/03/2020;2380;1798.4;4930;48.28;1050
21/03/2020;3251;2173.2;9556;34.02;1093
22/03/2020;1691;2197.2;3868;43.72;1142
23/03/2020;1555;2209.6;2644;NA;1183
24/03/2020;1942;2163.8;3453;NA;1194
25/03/2020;1643;2016.4;4971;33.05;1236
26/03/2020;2543;1874.8;6047;42.05;1263
27/03/2020;2409;2018.4;8147;29.57;1292
28/03/2020;2117;2130.8;6643;31.87;1319
29/03/2020;1592;2060.8;4895;32.52;1328
30/03/2020;1154;1963;3659;31.54;1330
31/03/2020;1047;1663.8;3583;29.22;1324
01/04/2020;1565;1495;6809;22.98;1342
02/04/2020;1292;1330;6837;18.9;1351
03/04/2020;1455;1302.6;6765;21.51;1381
04/04/2020;1598;1391.4;6826;23.41;1326
05/04/2020;1337;1449.4;8107;16.49;1317
06/04/2020;1079;1352.2;5005;21.56;1343
07/04/2020;791;1252;4342;18.22;1305
08/04/2020;1089;1178.8;8226;13.24;1257
09/04/2020;1388;1136.8;9396;14.77;1236
10/04/2020;1246;1118.6;9372;13.29;1202
11/04/2020;1544;1211.6;9977;15.48;1174
12/04/2020;1460;1345.4;9530;15.32;1176
13/04/2020;1262;1380;5260;23.99;1143
14/04/2020;1012;1304.8;3778;26.79;1122
15/04/2020;827;1221;7098;11.65;1074
16/04/2020;941;1100.4;10706;8.79;1032
17/04/2020;1041;1016.6;10839;9.6;971
18/04/2020;1246;1013.4;11818;10.54;947
19/04/2020;855;982;8824;9.69;922
20/04/2020;735;963.6;6331;11.61;901
21/04/2020;960;967.4;6711;14.3;851
22/04/2020;1161;991.4;13502;8.6;817
23/04/2020;1073;956.8;12016;8.93;790
24/04/2020;1091;1004;11583;9.42;756
25/04/2020;713;999.6;12642;5.64;724
26/04/2020;920;991.6;10857;8.47;706
27/04/2020;590;877.4;5053;11.68;680
28/04/2020;869;836.6;8573;10.14;655
29/04/2020;786;775.6;14472;5.43;634
30/04/2020;598;752.6;11048;5.41;605
01/05/2020;737;716;13701;5.38;563
02/05/2020;533;704.6;13058;4.08;545
03/05/2020;526;636;7155;7.35;532
04/05/2020;577;594.2;7978;7.23;532
05/05/2020;500;574.6;6455;7.75;509
06/05/2020;764;580;14516;5.26;480
07/05/2020;720;617.4;15488;4.65;480
08/05/2020;634;639;10993;5.77;400
09/05/2020;502;624;11478;4.37;330
10/05/2020;282;580.4;7369;3.83;348
11/05/2020;364;500.4;7508;4.85;341
12/05/2020;1033;563;20602;5.01;322
13/05/2020;394;515;10919;3.61;307
14/05/2020;522;519;14080;3.71;297
15/05/2020;299;522.4;12162;2.46;276
16/05/2020;399;529.4;14145;2.82;268
17/05/2020;326;388;11809;2.76;255
18/05/2020;175;344.2;5078;3.45;252
19/05/2020;462;332.2;14918;3.1;244
20/05/2020;294;331.2;11508;2.55;231
21/05/2020;316;314.6;14702;2.15;226
22/05/2020;293;308;19028;1.54;207
23/05/2020;441;361.2;17191;2.57;199
24/05/2020;285;325.8;11457;2.49;197
25/05/2020;148;296.6;5641;2.62;196
26/05/2020;159;265.2;9176;1.73;183
27/05/2020;384;283.4;12503;3.07;175
28/05/2020;382;271.6;15507;2.46;173
29/05/2020;354;285.4;14078;2.51;173
30/05/2020;221;300;14301;1.55;172
31/05/2020;210;310.2;12427;1.69;170
01/06/2020;50;243.4;3572;1.4;167
02/06/2020;187;204.4;8676;2.16;166
03/06/2020;237;181;11355;2.09;131
04/06/2020;84;153.6;3410;2.46;125
05/06/2020;402;192;19389;2.07;120
06/06/2020;142;210.4;13696;1.04;110
07/06/2020;125;198;8005;1.56;107
08/06/2020;194;189.4;4488;4.32;107
09/06/2020;192;211;9848;1.95;96
10/06/2020;99;150.4;9305;1.06;98
11/06/2020;252;172.4;13376;1.88;97
12/06/2020;272;201.8;14837;1.83;97
13/06/2020;210;205;9474;2.22;96
14/06/2020;244;215.4;9336;2.61;94
15/06/2020;259;247.4;6637;3.9;94
16/06/2020;143;225.6;7044;2.03;69
17/06/2020;242;219.6;11559;2.09;59
18/06/2020;216;220.8;11475;1.88;60
19/06/2020;157;203.4;10464;1.5;60
20/06/2020;165;184.6;9314;1.77;54
21/06/2020;128;181.6;7825;1.64;53
22/06/2020;143;161.8;7776;1.84;51
23/06/2020;62;131;6986;0.89;51
24/06/2020;88;117.2;9099;0.97;48
25/06/2020;170;118.2;9832;1.73;48
26/06/2020;156;123.8;14101;1.11;47
27/06/2020;77;110.6;9568;0.8;43
28/06/2020;97;117.6;8119;1.19;43
29/06/2020;78;115.6;7991;0.98;43
30/06/2020;62;94;6117;1.01;42
01/07/2020;109;84.6;8427;1.29;41
02/07/2020;98;88.8;9440;1.04;41
03/07/2020;115;92.4;9758;1.18;41
04/07/2020;95;95.8;10160;0.94;36
05/07/2020;98;103;8772;1.12;36
06/07/2020;111;103.4;5855;1.9;36
07/07/2020;53;94.4;3380;1.57;36
08/07/2020;71;85.6;10675;0.67;34
09/07/2020;119;90.4;11812;1.01;31
10/07/2020;135;97.8;11505;1.17;27
11/07/2020;67;89;7055;0.95;29
12/07/2020;77;93.8;9545;0.81;31
13/07/2020;94;98.4;6482;1.45;30
14/07/2020;30;80.6;5636;0.53;27
15/07/2020;63;66.2;10426;0.6;23
16/07/2020;80;68.8;10727;0.75;23
17/07/2020;55;64.4;9911;0.55;22
18/07/2020;88;63.2;9054;0.97;22
19/07/2020;33;63.8;7039;0.47;22
20/07/2020;56;62.4;4288;1.31;21
21/07/2020;34;53.2;5973;0.57;21
22/07/2020;51;52.4;5361;0.95;17
23/07/2020;82;51.2;15086;0.54;17
24/07/2020;53;55.2;9860;0.54;17
25/07/2020;79;59.8;10725;0.74;13
26/07/2020;74;67.8;8057;0.92;13
27/07/2020;34;64.4;3992;0.85;14
28/07/2020;53;58.6;6326;0.84;13
29/07/2020;46;57.2;8658;0.53;13
30/07/2020;88;59;11207;0.79;13
31/07/2020;77;59.6;8348;0.92;7
01/08/2020;55;63.8;8419;0.65;9
02/08/2020;38;60.8;7712;0.49;9
03/08/2020;25;56.6;4208;0.59;9
04/08/2020;44;47.8;5696;0.77;9
05/08/2020;138;60;9260;1.49;11
06/08/2020;118;72.6;8979;1.31;11
07/08/2020;69;78.8;8128;0.85;9
08/08/2020;76;89;6382;1.19;9
09/08/2020;71;94.4;6494;1.09;9
10/08/2020;31;73;9343;0.33;9
11/08/2020;68;63;4537;1.5;10
12/08/2020;102;69.6;7960;1.28;10
13/08/2020;74;69.2;7174;1.03;11
14/08/2020;97;74.4;7464;1.3;12
15/08/2020;94;87;7028;1.34;12
16/08/2020;61;85.6;4882;1.25;13
17/08/2020;43;73.8;4174;1.03;14
18/08/2020;50;69;5548;0.9;14
19/08/2020;91;67.8;9000;1.01;14
20/08/2020;154;79.8;13757;1.12;16
21/08/2020;174;102.4;10703;1.63;17
