date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;16;0;0
25/02/2020;0;0;5;0;0
26/02/2020;1;0.333333333333333;7;14.29;0
27/02/2020;2;0.75;18;11.11;1
28/02/2020;3;1.2;1;NA;2
29/02/2020;5;2.2;21;23.81;2
01/03/2020;14;5;33;42.42;5
02/03/2020;10;6.8;36;27.78;6
03/03/2020;26;11.6;63;41.27;13
04/03/2020;23;15.6;88;26.14;15
05/03/2020;40;22.6;125;32;19
06/03/2020;35;26.8;172;20.35;20
07/03/2020;48;34.4;231;20.78;36
08/03/2020;65;42.2;209;31.1;41
09/03/2020;51;47.8;225;22.67;47
10/03/2020;71;54;187;37.97;54
11/03/2020;85;64;219;38.81;66
12/03/2020;113;77;251;45.02;76
13/03/2020;133;90.6;311;42.77;85
14/03/2020;174;115.2;343;NA;93
15/03/2020;234;147.8;385;NA;98
16/03/2020;109;152.6;279;39.07;110
17/03/2020;129;155.8;0;NA;109
18/03/2020;197;168.6;884;22.29;119
19/03/2020;169;167.6;403;41.94;141
20/03/2020;244;169.6;658;37.08;138
21/03/2020;172;182.2;570;30.18;141
22/03/2020;268;210;651;41.17;138
23/03/2020;148;200.2;391;37.85;148
24/03/2020;167;199.8;447;37.36;149
25/03/2020;198;190.6;667;29.69;148
26/03/2020;180;192.2;727;24.76;166
27/03/2020;82;155;437;18.76;162
28/03/2020;177;160.8;824;21.48;166
29/03/2020;185;164.4;547;33.82;168
30/03/2020;126;150;548;22.99;167
31/03/2020;141;142.2;745;18.93;169
01/04/2020;137;153.2;572;23.95;168
02/04/2020;136;145;647;21.02;164
03/04/2020;132;134.4;735;17.96;158
04/04/2020;111;131.4;794;13.98;153
05/04/2020;123;127.8;780;15.77;151
06/04/2020;150;130.4;667;22.49;140
07/04/2020;96;122.4;700;13.71;139
08/04/2020;149;125.8;913;16.32;133
09/04/2020;96;122.8;662;14.5;133
10/04/2020;129;124;776;16.62;127
11/04/2020;127;119.4;1090;11.65;118
12/04/2020;92;118.6;997;9.23;114
13/04/2020;78;104.4;7322;1.07;108
14/04/2020;45;94.2;781;5.76;106
15/04/2020;77;83.8;1169;6.59;106
16/04/2020;79;74.2;3449;2.29;102
17/04/2020;86;73;4219;2.04;94
18/04/2020;53;68;1912;2.77;88
19/04/2020;48;68.6;1565;3.07;86
20/04/2020;57;64.6;1308;4.36;80
21/04/2020;51;59;1550;3.29;78
22/04/2020;47;51.2;2160;2.18;76
23/04/2020;28;46.2;1170;2.39;71
24/04/2020;76;51.8;1501;5.06;61
25/04/2020;30;46.4;1833;1.64;58
26/04/2020;53;46.8;1067;4.97;58
27/04/2020;16;40.6;702;2.28;58
28/04/2020;48;44.6;1548;3.1;58
29/04/2020;35;36.4;1592;2.2;52
30/04/2020;37;37.8;3583;1.03;48
01/05/2020;28;32.8;1753;1.6;44
02/05/2020;23;34.2;1593;1.44;46
03/05/2020;21;28.8;1578;1.33;43
04/05/2020;44;30.6;986;4.46;44
