date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;0;NA;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;0;NA;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;0;NA;0
01/03/2020;0;0;6;0;0
02/03/2020;0;0;7;0;0
03/03/2020;3;0.6;0;NA;0
04/03/2020;0;0.6;6;0;0
05/03/2020;4;1.4;5;NA;0
06/03/2020;5;2.4;80;6.25;2
07/03/2020;2;2.8;8;25;2
08/03/2020;0;2.2;4;0;2
09/03/2020;0;2.2;96;0;2
10/03/2020;1;1.6;13;7.69;3
11/03/2020;1;0.8;8;12.5;3
12/03/2020;0;0.4;5;0;3
13/03/2020;1;0.6;5;20;3
14/03/2020;0;0.6;4;0;3
15/03/2020;0;0.4;1;0;4
16/03/2020;4;1;5;NA;5
17/03/2020;4;1.8;48;8.33;5
18/03/2020;3;2.2;60;5;6
19/03/2020;18;5.8;65;27.69;6
20/03/2020;4;6.6;0;NA;6
21/03/2020;11;8;23;47.83;6
22/03/2020;5;8.2;83;6.02;7
23/03/2020;1;7.8;0;NA;7
24/03/2020;6;5.4;40;15;7
25/03/2020;0;4.6;8;0;7
26/03/2020;30;8.4;90;33.33;8
27/03/2020;6;8.6;40;15;9
28/03/2020;14;11.2;97;14.43;9
29/03/2020;4;10.8;111;3.6;9
30/03/2020;7;12.2;37;18.92;8
31/03/2020;10;8.2;94;10.64;8
01/04/2020;16;10.2;108;14.81;8
02/04/2020;5;8.4;72;6.94;8
03/04/2020;11;9.8;149;7.38;8
04/04/2020;30;14.4;126;23.81;6
05/04/2020;18;16;0;NA;6
06/04/2020;0;12.8;42;0;5
07/04/2020;0;11.8;35;0;5
08/04/2020;2;10;421;0.48;4
09/04/2020;8;5.6;67;11.94;4
10/04/2020;9;3.8;0;NA;4
11/04/2020;3;4.4;132;2.27;4
12/04/2020;11;6.6;270;4.07;4
13/04/2020;0;6.2;51;0;4
14/04/2020;0;4.6;0;NA;4
15/04/2020;6;4;333;1.8;4
16/04/2020;0;3.4;112;0;4
17/04/2020;6;2.4;115;5.22;4
18/04/2020;0;2.4;0;NA;4
19/04/2020;10;4.4;502;1.99;4
20/04/2020;2;3.6;199;1.01;2
21/04/2020;1;3.8;341;0.29;2
22/04/2020;2;3;301;0.66;2
23/04/2020;0;3;139;0;1
24/04/2020;3;1.6;241;1.24;1
25/04/2020;5;2.2;386;1.3;1
26/04/2020;4;2.8;376;1.06;1
27/04/2020;0;2.4;89;0;1
28/04/2020;1;2.6;120;0.83;1
29/04/2020;0;2;134;0;1
30/04/2020;1;1.2;536;0.19;1
01/05/2020;2;0.8;17;11.76;1
02/05/2020;1;1;612;0.16;1
03/05/2020;0;0.8;0;NA;1
04/05/2020;0;0.8;253;0;1
05/05/2020;0;0.6;200;0;1
06/05/2020;3;0.8;368;0.82;0
07/05/2020;1;0.8;341;0.29;0
08/05/2020;22;5.2;265;8.3;0
09/05/2020;20;9.2;189;10.58;0
10/05/2020;23;13.8;473;4.86;0
11/05/2020;13;15.8;226;5.75;0
12/05/2020;3;16.2;591;0.51;1
13/05/2020;15;14.8;81;18.52;1
14/05/2020;2;11.2;165;1.21;1
15/05/2020;4;7.4;241;1.66;2
16/05/2020;3;5.4;391;0.77;2
17/05/2020;1;5;226;0.44;2
18/05/2020;11;4.2;429;2.56;2
19/05/2020;0;3.8;78;0;2
20/05/2020;0;3;566;0;2
21/05/2020;1;2.6;95;1.05;2
22/05/2020;3;3;363;0.83;2
23/05/2020;5;1.8;401;1.25;2
24/05/2020;1;2;209;0.48;2
25/05/2020;0;2;89;0;2
26/05/2020;0;1.8;137;0;2
27/05/2020;2;1.6;177;1.13;2
28/05/2020;1;0.8;218;0.46;2
29/05/2020;1;0.8;262;0.38;2
