date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;1;0;0
25/02/2020;1;0.5;0;NA;0
26/02/2020;0;0.333333333333333;0;NA;0
27/02/2020;0;0.25;1;0;0
28/02/2020;0;0.2;0;NA;0
29/02/2020;0;0.2;14;0;0
01/03/2020;0;0;4;0;0
02/03/2020;0;0;0;NA;0
03/03/2020;0;0;0;NA;0
04/03/2020;0;0;0;NA;0
05/03/2020;0;0;0;NA;0
06/03/2020;3;0.6;16;18.75;0
07/03/2020;5;1.6;0;NA;0
08/03/2020;0;1.6;0;NA;0
09/03/2020;0;1.6;0;NA;0
10/03/2020;29;7.4;0;NA;1
11/03/2020;37;14.2;39;NA;4
12/03/2020;29;19;532;5.45;4
13/03/2020;21;23.2;204;10.29;5
14/03/2020;48;32.8;324;14.81;7
15/03/2020;31;33.2;362;8.56;4
16/03/2020;37;33.2;243;15.23;11
17/03/2020;50;37.4;409;12.22;11
18/03/2020;85;50.2;695;12.23;18
19/03/2020;60;52.6;724;8.29;18
20/03/2020;112;68.8;865;12.95;24
21/03/2020;73;76;746;9.79;30
22/03/2020;57;77.4;539;10.58;32
23/03/2020;46;69.6;366;12.57;33
24/03/2020;57;69;425;13.41;38
25/03/2020;77;62;140;NA;40
26/03/2020;48;57;1095;4.38;43
27/03/2020;97;65;776;12.5;45
28/03/2020;106;77;648;16.36;51
29/03/2020;105;86.6;969;10.84;56
30/03/2020;111;93.4;503;22.07;62
31/03/2020;46;93;635;7.24;62
01/04/2020;47;83;676;6.95;57
02/04/2020;61;74;726;8.4;60
03/04/2020;80;69;1299;6.16;60
04/04/2020;33;53.4;1069;3.09;61
05/04/2020;52;54.6;678;7.67;53
06/04/2020;78;60.8;1102;7.08;52
07/04/2020;89;66.4;936;9.51;64
08/04/2020;24;55.2;1104;2.17;65
09/04/2020;68;62.2;1010;6.73;64
10/04/2020;52;62.2;991;5.25;58
11/04/2020;2;47;1320;0.15;56
12/04/2020;141;57.4;1060;13.3;45
13/04/2020;51;62.8;911;5.6;41
14/04/2020;35;56.2;300;11.67;39
15/04/2020;40;53.8;913;4.38;32
16/04/2020;43;62;1046;4.11;34
17/04/2020;29;39.6;1282;2.26;32
18/04/2020;29;35.2;1190;2.44;28
19/04/2020;55;39.2;1473;3.73;23
20/04/2020;14;34;1020;1.37;19
21/04/2020;16;28.6;606;2.64;20
