date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;0;NA;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;1;0.25;0;NA;0
28/02/2020;2;0.6;242;0.83;0
29/02/2020;0;0.6;10;0;0
01/03/2020;0;0.6;10;0;0
02/03/2020;1;0.8;16;6.25;0
03/03/2020;2;1;20;10;0
04/03/2020;3;1.2;24;12.5;0
05/03/2020;5;2.2;37;13.51;1
06/03/2020;3;2.8;36;8.33;1
07/03/2020;9;4.4;0;NA;2
08/03/2020;14;6.8;232;6.03;3
09/03/2020;10;8.2;58;17.24;6
10/03/2020;9;9;62;14.52;6
11/03/2020;18;12;162;11.11;4
12/03/2020;27;15.6;360;7.5;2
13/03/2020;25;17.8;180;13.89;2
14/03/2020;37;23.2;232;15.95;6
15/03/2020;64;34.2;336;19.05;6
16/03/2020;0;30.6;0;NA;6
17/03/2020;110;47.2;1060;10.38;14
18/03/2020;43;50.8;356;12.08;30
19/03/2020;95;62.4;613;15.5;31
20/03/2020;103;70.2;743;13.86;31
21/03/2020;94;89;828;11.35;33
22/03/2020;111;89.2;543;20.44;37
23/03/2020;120;104.6;601;19.97;45
24/03/2020;99;105.4;584;16.95;57
25/03/2020;88;102.4;878;10.02;64
26/03/2020;89;101.4;968;9.19;76
27/03/2020;152;109.6;1042;14.59;82
28/03/2020;124;110.4;1267;9.79;98
29/03/2020;91;108.8;861;10.57;99
30/03/2020;163;123.8;756;21.56;106
31/03/2020;91;124.2;956;9.52;105
01/04/2020;143;122.4;1136;12.59;107
02/04/2020;131;123.8;1345;9.74;118
03/04/2020;105;126.6;1370;7.66;123
04/04/2020;58;105.6;1053;5.51;153
05/04/2020;77;102.8;1103;6.98;159
06/04/2020;127;99.6;1979;6.42;97
07/04/2020;70;87.4;1090;6.42;93
08/04/2020;120;90.4;1344;8.93;90
09/04/2020;82;95.2;1595;5.14;86
10/04/2020;93;98.4;1724;5.39;80
11/04/2020;95;92;1651;5.75;73
12/04/2020;85;95;1510;5.63;71
13/04/2020;76;86.2;949;8.01;71
14/04/2020;53;80.4;1149;4.61;62
15/04/2020;66;75;1447;4.56;73
16/04/2020;74;70.8;1640;4.51;58
17/04/2020;69;67.6;2120;3.25;62
18/04/2020;82;68.8;2145;3.82;60
19/04/2020;120;82.2;2175;5.52;60
20/04/2020;38;76.6;1591;2.39;66
21/04/2020;55;72.8;1795;3.06;65
22/04/2020;108;80.6;2358;4.58;60
23/04/2020;109;86;2068;5.27;55
24/04/2020;42;70.4;2062;2.04;51
25/04/2020;31;69;2156;1.44;48
26/04/2020;36;65.2;1364;2.64;48
27/04/2020;10;45.6;984;1.02;51
28/04/2020;22;28.2;1520;1.45;51
29/04/2020;49;29.6;1838;2.67;47
30/04/2020;43;32;2126;2.02;42
01/05/2020;27;30.2;1832;1.47;39
02/05/2020;34;35;1078;3.15;39
03/05/2020;11;32.8;1073;1.03;40
04/05/2020;9;24.8;724;1.24;39
05/05/2020;17;19.6;1961;0.87;39
06/05/2020;26;19.4;1816;1.43;36
07/05/2020;49;22.4;1852;2.65;35
08/05/2020;11;22.4;1928;0.57;33
09/05/2020;30;26.6;1919;1.56;33
10/05/2020;27;28.6;1756;1.54;34
11/05/2020;14;26.2;1338;1.05;32
12/05/2020;10;18.4;1755;0.57;31
13/05/2020;11;18.4;2221;0.5;27
14/05/2020;9;14.2;1864;0.48;24
15/05/2020;9;10.6;2110;0.43;23
16/05/2020;8;9.4;1924;0.42;22
17/05/2020;5;8.4;1424;0.35;21
18/05/2020;7;7.6;866;0.81;22
19/05/2020;10;7.8;1933;0.52;22
20/05/2020;11;8.2;2061;0.53;21
21/05/2020;6;7.8;1694;0.35;20
22/05/2020;27;12.2;2113;1.28;17
23/05/2020;8;12.4;2036;0.39;17
