date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;1;0;0
25/02/2020;0;0;0;NA;0
26/02/2020;0;0;0;NA;0
27/02/2020;0;0;0;NA;0
28/02/2020;0;0;0;NA;0
29/02/2020;0;0;0;NA;0
01/03/2020;0;0;28;0;0
02/03/2020;0;0;0;NA;0
03/03/2020;1;0.2;0;NA;0
04/03/2020;1;0.4;13;7.69;0
05/03/2020;0;0.4;8;0;0
06/03/2020;3;1;49;6.12;0
07/03/2020;0;1;0;NA;0
08/03/2020;6;2;50;12;0
09/03/2020;8;3.4;36;22.22;0
10/03/2020;1;3.6;19;5.26;0
11/03/2020;17;6.4;79;21.52;0
12/03/2020;2;6.8;19;10.53;0
13/03/2020;4;6.4;202;1.98;0
14/03/2020;4;5.6;26;15.38;0
15/03/2020;30;11.4;83;36.14;0
16/03/2020;30;14;184;16.3;0
17/03/2020;10;15.6;206;4.85;4
18/03/2020;17;18.2;132;12.88;7
19/03/2020;72;31.8;199;36.18;9
20/03/2020;87;43.2;578;15.05;15
21/03/2020;37;44.6;385;9.61;16
22/03/2020;9;44.4;105;8.57;16
23/03/2020;20;45;166;12.05;18
24/03/2020;62;43;291;21.31;19
25/03/2020;21;29.8;160;13.12;19
26/03/2020;52;32.8;442;11.76;20
27/03/2020;36;38.2;340;10.59;19
28/03/2020;94;53;424;22.17;22
29/03/2020;14;43.4;373;3.75;23
30/03/2020;44;48;395;11.14;24
31/03/2020;40;45.6;264;15.15;28
01/04/2020;23;43;244;9.43;27
02/04/2020;49;34;469;10.45;24
03/04/2020;31;37.4;508;6.1;24
04/04/2020;49;38.4;311;15.76;24
05/04/2020;33;37;368;8.97;25
06/04/2020;15;35.4;364;4.12;26
07/04/2020;13;28.2;159;8.18;26
08/04/2020;40;30;813;4.92;31
09/04/2020;51;30.4;425;12;25
10/04/2020;37;31.2;526;7.03;26
11/04/2020;28;33.8;676;4.14;24
12/04/2020;22;35.6;543;4.05;26
13/04/2020;15;30.6;347;4.32;27
14/04/2020;10;22.4;883;1.13;24
15/04/2020;23;19.6;502;4.58;26
16/04/2020;3;14.6;401;0.75;24
17/04/2020;14;13;508;2.76;23
18/04/2020;20;14;783;2.55;23
19/04/2020;17;15.4;772;2.2;22
20/04/2020;13;13.4;469;2.77;21
21/04/2020;8;14.4;558;1.43;21
22/04/2020;11;13.8;1000;1.1;20
23/04/2020;7;11.2;958;0.73;20
24/04/2020;3;8.4;2045;0.15;19
25/04/2020;14;8.6;462;3.03;18
26/04/2020;9;8.8;750;1.2;20
27/04/2020;3;7.2;294;1.02;19
28/04/2020;2;6.2;721;0.28;18
29/04/2020;5;6.6;1183;0.42;17
30/04/2020;5;4.8;1455;0.34;16
01/05/2020;18;6.6;1488;1.21;12
02/05/2020;2;6.4;748;0.27;13
03/05/2020;4;6.8;747;0.54;10
04/05/2020;-2;5.4;315;-0.63;9
05/05/2020;1;4.6;815;0.12;9
06/05/2020;1;1.2;1099;0.09;11
07/05/2020;5;1.8;1098;0.46;9
08/05/2020;6;2.2;1155;0.52;10
09/05/2020;4;3.4;1111;0.36;11
10/05/2020;6;4.4;716;0.84;10
11/05/2020;3;4.8;595;0.5;10
12/05/2020;1;4;835;0.12;11
13/05/2020;1;3;1234;0.08;10
14/05/2020;0;2.2;1324;0;10
15/05/2020;3;1.6;1810;0.17;10
16/05/2020;4;1.8;1413;0.28;10
17/05/2020;1;1.8;992;0.1;10
18/05/2020;0;1.6;1138;0;10
19/05/2020;1;1.8;1026;0.1;9
20/05/2020;1;1.4;1159;0.09;10
21/05/2020;1;0.8;1223;0.08;12
