date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;0;0;140;0;0
25/02/2020;2;1;156;1.28;0
26/02/2020;0;0.666666666666667;67;0;0
27/02/2020;0;0.5;47;0;0
28/02/2020;6;1.6;27;22.22;0
29/02/2020;3;2.2;94;3.19;0
01/03/2020;2;2.2;41;4.88;0
02/03/2020;0;2.2;41;0;0
03/03/2020;6;3.4;84;7.14;0
04/03/2020;19;6;79;24.05;2
05/03/2020;23;10;0;NA;3
06/03/2020;18;13.2;321;5.61;5
07/03/2020;34;20;234;14.53;7
08/03/2020;53;29.4;287;18.47;7
09/03/2020;42;34;400;10.5;9
10/03/2020;56;40.6;555;10.09;40
11/03/2020;56;48.2;231;24.24;54
12/03/2020;44;50.2;361;12.19;59
13/03/2020;106;60.8;884;11.99;77
14/03/2020;160;84.4;546;29.3;87
15/03/2020;151;103.4;537;28.12;107
16/03/2020;85;109.2;778;10.93;107
17/03/2020;187;137.8;817;22.89;143
18/03/2020;277;172;879;31.51;160
19/03/2020;152;170.4;1267;12;178
20/03/2020;311;202.4;1532;20.3;189
21/03/2020;219;229.2;1504;14.56;202
22/03/2020;265;244.8;1355;19.56;215
23/03/2020;184;226.2;587;31.35;238
24/03/2020;238;243.4;1850;12.86;244
25/03/2020;273;235.8;2167;12.6;251
26/03/2020;254;242.8;3084;8.24;259
27/03/2020;224;234.6;2794;8.02;274
28/03/2020;367;271.2;1867;19.66;277
29/03/2020;305;284.6;1966;15.51;275
30/03/2020;290;288;2520;11.51;279
31/03/2020;196;276.4;3066;6.39;293
01/04/2020;259;283.4;3410;7.6;297
02/04/2020;406;291.2;4149;9.79;295
03/04/2020;226;275.4;3736;6.05;288
04/04/2020;172;251.8;3426;5.02;286
05/04/2020;176;247.8;3120;5.64;276
06/04/2020;154;226.8;1843;8.36;279
07/04/2020;172;180;3802;4.52;263
08/04/2020;206;176;4334;4.75;260
09/04/2020;173;176.2;4476;3.87;256
10/04/2020;175;176;6540;2.68;256
11/04/2020;231;191.4;3755;6.15;237
12/04/2020;277;212.4;2884;9.6;238
13/04/2020;155;202.2;2249;6.89;225
14/04/2020;137;195;1380;9.93;225
15/04/2020;139;187.8;4079;3.41;216
16/04/2020;277;197;5303;5.22;213
17/04/2020;167;175;4580;3.65;207
18/04/2020;127;169.4;3672;3.46;198
19/04/2020;135;169;4072;3.32;192
20/04/2020;135;168.2;1882;7.17;182
21/04/2020;96;132;4068;2.36;171
22/04/2020;97;118;4175;2.32;174
23/04/2020;80;108.6;4077;1.96;168
24/04/2020;97;101;3159;3.07;159
25/04/2020;138;101.6;4159;3.32;166
26/04/2020;132;108.8;1899;6.95;158
27/04/2020;32;95.8;1654;1.93;154
28/04/2020;52;90.2;4569;1.14;144
29/04/2020;61;83;3865;1.58;139
30/04/2020;60;67.4;4367;1.37;126
01/05/2020;93;59.6;4607;2.02;124
02/05/2020;80;69.2;1767;4.53;118
03/05/2020;38;66.4;2691;1.41;112
04/05/2020;38;61.8;1533;2.48;107
05/05/2020;30;55.8;4813;0.62;111
06/05/2020;26;42.4;4293;0.61;92
07/05/2020;26;31.6;4509;0.58;91
08/05/2020;38;31.6;4234;0.9;84
09/05/2020;24;28.8;4300;0.56;79
10/05/2020;29;28.6;3612;0.8;78
11/05/2020;13;26;1261;1.03;77
12/05/2020;15;23.8;5382;0.28;72
13/05/2020;27;21.6;4175;0.65;72
14/05/2020;30;22.8;4156;0.72;68
15/05/2020;24;21.8;4183;0.57;67
16/05/2020;30;25.2;3338;0.9;66
17/05/2020;35;29.2;3319;1.05;67
18/05/2020;13;26.4;1179;1.1;66
19/05/2020;7;21.8;3960;0.18;56
20/05/2020;14;19.8;5138;0.27;45
21/05/2020;18;17.4;4316;0.42;41
22/05/2020;35;17.4;3890;0.9;42
23/05/2020;12;17.2;3541;0.34;40
24/05/2020;15;18.8;3089;0.49;38
25/05/2020;5;17;1138;0.44;37
26/05/2020;3;14;4523;0.07;34
27/05/2020;12;9.4;3871;0.31;31
28/05/2020;4;7.8;4020;0.1;27
29/05/2020;2;5.2;3365;0.06;31
30/05/2020;12;6.6;3389;0.35;27
31/05/2020;4;6.8;2649;0.15;28
01/06/2020;3;5;1755;0.17;25
02/06/2020;10;6.2;3333;0.3;25
03/06/2020;4;6.6;1989;0.2;25
04/06/2020;1;4.4;3595;0.03;24
05/06/2020;7;5;3746;0.19;23
06/06/2020;5;5.4;2790;0.18;22
07/06/2020;1;3.6;2808;0.04;20
08/06/2020;9;4.6;1600;0.56;20
09/06/2020;1;4.6;3386;0.03;17
10/06/2020;3;3.8;3399;0.09;15
11/06/2020;10;4.8;3147;0.32;15
12/06/2020;7;6;3055;0.23;14
13/06/2020;7;5.6;2831;0.25;16
14/06/2020;8;7;2577;0.31;16
15/06/2020;8;8;1582;0.51;16
16/06/2020;3;6.6;3129;0.1;14
17/06/2020;2;5.6;3800;0.05;14
18/06/2020;2;4.6;3174;0.06;13
19/06/2020;10;5;2703;0.37;12
20/06/2020;2;3.8;2761;0.07;12
21/06/2020;3;3.8;2627;0.11;9
22/06/2020;1;3.6;1578;0.06;9
23/06/2020;6;4.4;3478;0.17;6
24/06/2020;5;3.4;3866;0.13;5
25/06/2020;2;3.4;3065;0.07;6
26/06/2020;2;3.2;2781;0.07;6
27/06/2020;12;5.4;3220;0.37;6
28/06/2020;5;5.2;2893;0.17;6
29/06/2020;5;5.2;1440;0.35;6
30/06/2020;2;5.2;2912;0.07;6
01/07/2020;4;5.6;4055;0.1;5
02/07/2020;4;4;3218;0.12;3
03/07/2020;9;4.8;2744;0.33;3
04/07/2020;9;5.6;2618;0.34;2
05/07/2020;9;7;2804;0.32;2
06/07/2020;2;6.6;1313;0.15;2
07/07/2020;19;9.6;2685;0.71;1
08/07/2020;7;9.2;3715;0.19;2
09/07/2020;1;7.6;3071;0.03;2
10/07/2020;2;6.2;2685;0.07;2
11/07/2020;5;6.8;2470;0.2;3
12/07/2020;1;3.2;2784;0.04;3
13/07/2020;4;2.6;1581;0.25;3
14/07/2020;4;3.2;2892;0.14;2
15/07/2020;8;4.4;3451;0.23;3
16/07/2020;12;5.8;2964;0.4;2
17/07/2020;6;6.8;2666;0.23;1
18/07/2020;2;6.4;3059;0.07;1
19/07/2020;16;8.8;2791;0.57;0
20/07/2020;1;7.4;1322;0.08;0
21/07/2020;9;6.8;3063;0.29;1
22/07/2020;6;6.8;3632;0.17;1
23/07/2020;4;7.2;2786;0.14;1
24/07/2020;11;6.2;2870;0.38;0
25/07/2020;10;8;2846;0.35;0
26/07/2020;15;9.2;2941;0.51;0
27/07/2020;8;9.6;1529;0.52;0
28/07/2020;3;9.4;2799;0.11;0
29/07/2020;17;10.6;3843;0.44;0
30/07/2020;11;10.8;3330;0.33;0
31/07/2020;14;10.6;2937;0.48;0
01/08/2020;6;10.2;3187;0.19;0
02/08/2020;9;11.4;2815;0.32;0
03/08/2020;10;10;1492;0.67;1
04/08/2020;11;10;2673;0.41;0
05/08/2020;11;9.4;3893;0.28;0
06/08/2020;17;11.6;3042;0.56;0
07/08/2020;13;12.4;2657;0.49;0
08/08/2020;23;15;2917;0.79;1
09/08/2020;61;25;2784;2.19;1
10/08/2020;8;24.4;1387;0.58;1
11/08/2020;22;25.4;2972;0.74;1
12/08/2020;33;29.4;3173;1.04;3
13/08/2020;28;30.4;3128;0.9;3
